subject,body,text,category,category_id,id
🎸 Experience Nicki Minaj at Lenovo Center 🎟️ Get Tickets Now!,"Love live music? Nicki Minaj's Pink Friday 2 World Tour hits Raleigh at Lenovo Center on 08-10-2024. Don't miss ['', ""I'm the Best"", 'Barbie Dangerous', 'FTCU', 'Beep Beep', 'Win Again', 'Big Difference', '', 'Pink Birthday', 'Feeling Myself', 'Favorite', 'Cowgirl', 'High School', 'Needle', 'Ganja Burn', 'Chun-Li', 'Red Ruby Da Sleeze', 'Truffle Butter / Black Barbies', 'Barbie World', ""Roman's Revenge"", 'Monster', 'Are You Gone Already', 'Fallin 4 U', 'Right Thru Me', 'Save Me', 'Let Me Calm Down', 'Nicki Hendrix', 'Last Time I Saw You', 'Super Freaky Girl', 'Anaconda', 'Super Bass', 'Moment 4 Life', 'Itty Bitty Piggy', 'Boss Ass Bitch', 'Make Me Proud', 'Tapout', 'Your Love', 'Sweet Dreams', 'Danny Glover', 'The Way Life Goes', 'Endless Fashion', 'Hold You', 'Crocodile Teeth', 'WHOLE LOTTA MONEY', 'Roger That', 'The Night Is Still Young', 'Starships', 'Everybody'] performed live!","🎸 Experience Nicki Minaj at Lenovo Center 🎟️ Get Tickets Now! Love live music? Nicki Minaj's Pink Friday 2 World Tour hits Raleigh at Lenovo Center on 08-10-2024. Don't miss ['', ""I'm the Best"", 'Barbie Dangerous', 'FTCU', 'Beep Beep', 'Win Again', 'Big Difference', '', 'Pink Birthday', 'Feeling Myself', 'Favorite', 'Cowgirl', 'High School', 'Needle', 'Ganja Burn', 'Chun-Li', 'Red Ruby Da Sleeze', 'Truffle Butter / Black Barbies', 'Barbie World', ""Roman's Revenge"", 'Monster', 'Are You Gone Already', 'Fallin 4 U', 'Right Thru Me', 'Save Me', 'Let Me Calm Down', 'Nicki Hendrix', 'Last Time I Saw You', 'Super Freaky Girl', 'Anaconda', 'Super Bass', 'Moment 4 Life', 'Itty Bitty Piggy', 'Boss Ass Bitch', 'Make Me Proud', 'Tapout', 'Your Love', 'Sweet Dreams', 'Danny Glover', 'The Way Life Goes', 'Endless Fashion', 'Hold You', 'Crocodile Teeth', 'WHOLE LOTTA MONEY', 'Roger That', 'The Night Is Still Young', 'Starships', 'Everybody'] performed live!",concert_promotion,6,music_10
🎉 Catch OneRepublic Live for the Escape to Europe 2025 Tour tour Secure Your Spot!,"OneRepublic brings chart-topping hits like [] to Avicii Arena, Stockholm, 31-10-2025.","🎉 Catch OneRepublic Live for the Escape to Europe 2025 Tour tour Secure Your Spot! OneRepublic brings chart-topping hits like [] to Avicii Arena, Stockholm, 31-10-2025.",concert_promotion,6,music_11
🎸 Experience Taba Chake at Sneaky Possum 🎟️ Get Tickets Now!,Prepare for an audiovisual spectacle! Taba Chake brings  to Sneaky Possum on 17-10-2025 in Sydney.,🎸 Experience Taba Chake at Sneaky Possum 🎟️ Get Tickets Now! Prepare for an audiovisual spectacle! Taba Chake brings  to Sneaky Possum on 17-10-2025 in Sydney.,concert_promotion,6,music_12
❤️ The Ultimate SUPER JUNIOR Experience on 14-10-2025 Tickets Going Fast!,"Love live music? SUPER JUNIOR's SUPER SHOW 10 hits Monterrey at Auditorio Banamex on 14-10-2025. Don't miss ['Twins (Knock Out)', 'U', 'Black Suit', 'Mamacita', 'SUPERMAN', 'Super Girl', 'Haircut', 'Say Less', 'I Know', 'Dorothy', 'No Other', 'From U', 'One More Time (Otra Vez)', 'Lo siento', 'Ahora te puedes marchar', 'D.N.A.', 'Rockstar / A-CHA', 'Express Mode', 'Mr. Simple', 'Bonamana', 'Sorry, Sorry', ""Don't Don"", 'Marry U', 'Ai se eu te pego', 'Miracle'] performed live!","❤️ The Ultimate SUPER JUNIOR Experience on 14-10-2025 Tickets Going Fast! Love live music? SUPER JUNIOR's SUPER SHOW 10 hits Monterrey at Auditorio Banamex on 14-10-2025. Don't miss ['Twins (Knock Out)', 'U', 'Black Suit', 'Mamacita', 'SUPERMAN', 'Super Girl', 'Haircut', 'Say Less', 'I Know', 'Dorothy', 'No Other', 'From U', 'One More Time (Otra Vez)', 'Lo siento', 'Ahora te puedes marchar', 'D.N.A.', 'Rockstar / A-CHA', 'Express Mode', 'Mr. Simple', 'Bonamana', 'Sorry, Sorry', ""Don't Don"", 'Marry U', 'Ai se eu te pego', 'Miracle'] performed live!",concert_promotion,6,music_13
✨ Experience Doja Cat on 26-10-2025 Limited Seats Available,"The icon returns! Doja Cat live at Paramount Studios, Los Angeles, 26-10-2025.","✨ Experience Doja Cat on 26-10-2025 Limited Seats Available The icon returns! Doja Cat live at Paramount Studios, Los Angeles, 26-10-2025.",concert_promotion,6,music_14
🎤 Experience Emeli Sandé for the  tour – One Night Only!,"Dazzling lights, incredible sound, Emeli Sandé! OVO Arena Wembley, London, 21-09-2025.","🎤 Experience Emeli Sandé for the  tour – One Night Only! Dazzling lights, incredible sound, Emeli Sandé! OVO Arena Wembley, London, 21-09-2025.",concert_promotion,6,music_15
🕺 Your Chance to See Shawn Mendes for the On The Road Again Tour tour Don't Miss Out!,"Tag your concert buddy! Shawn Mendes at Forest Hills Stadium, Queens, 03-10-2025.","🕺 Your Chance to See Shawn Mendes for the On The Road Again Tour tour Don't Miss Out! Tag your concert buddy! Shawn Mendes at Forest Hills Stadium, Queens, 03-10-2025.",concert_promotion,6,music_16
✨ Get Ready for Mayday Parade at Vibrant Music Hall Secure Your Spot!,"Live in Waukee: Mayday Parade at Vibrant Music Hall, 29-10-2025.","✨ Get Ready for Mayday Parade at Vibrant Music Hall Secure Your Spot! Live in Waukee: Mayday Parade at Vibrant Music Hall, 29-10-2025.",concert_promotion,6,music_17
🕺 Your Chance to See Stray Kids for the  tour Don't Miss Out!,"Live in Goyang-si: Stray Kids at KINTEX, 01-10-2025.","🕺 Your Chance to See Stray Kids for the  tour Don't Miss Out! Live in Goyang-si: Stray Kids at KINTEX, 01-10-2025.",concert_promotion,6,music_18
🎹 See Ariana Grande in Los Angeles at Dolby Theatre 🎟️ Get Tickets Now!,Last chance! Ariana Grande at Dolby Theatre on 02-03-2025. Grab yours: https://www.setlist.fm/setlist/ariana-grande/2025/dolby-theatre-los-angeles-ca-b5bc9b2.html.,🎹 See Ariana Grande in Los Angeles at Dolby Theatre 🎟️ Get Tickets Now! Last chance! Ariana Grande at Dolby Theatre on 02-03-2025. Grab yours: https://www.setlist.fm/setlist/ariana-grande/2025/dolby-theatre-los-angeles-ca-b5bc9b2.html.,concert_promotion,6,music_19
🎸 Don't Miss EXO for the  tour Don't Miss Out!,Feel the energy as EXO rocks Carson at Dignity Health Sports Park on 11-05-2025. Tickets are moving fast!,🎸 Don't Miss EXO for the  tour Don't Miss Out! Feel the energy as EXO rocks Carson at Dignity Health Sports Park on 11-05-2025. Tickets are moving fast!,concert_promotion,6,music_20
🕺 Your Chance to See Dua Lipa for the Radical Optimism Tour tour Don't Miss Out!,"Dua Lipa brings Radical Optimism Tour to Chase Center, San Francisco, 12-10-2025. Tickets at https://www.setlist.fm/setlist/dua-lipa/2025/chase-center-san-francisco-ca-3353a40d.html.","🕺 Your Chance to See Dua Lipa for the Radical Optimism Tour tour Don't Miss Out! Dua Lipa brings Radical Optimism Tour to Chase Center, San Francisco, 12-10-2025. Tickets at https://www.setlist.fm/setlist/dua-lipa/2025/chase-center-san-francisco-ca-3353a40d.html.",concert_promotion,6,music_21
🎹 See Bruno Mars in Las Vegas at Dolby Live at Park MGM 🎟️ Get Tickets Now!,"Dazzling lights, incredible sound, Bruno Mars! Dolby Live at Park MGM, Las Vegas, 05-09-2025.","🎹 See Bruno Mars in Las Vegas at Dolby Live at Park MGM 🎟️ Get Tickets Now! Dazzling lights, incredible sound, Bruno Mars! Dolby Live at Park MGM, Las Vegas, 05-09-2025.",concert_promotion,6,music_22
🎸 Experience Yuna Nakamura at TV Kanagawa 🎟️ Get Tickets Now!,"Get ready, Yokohama! Yuna Nakamura brings their iconic sound to TV Kanagawa on 21-05-2025. Be part of  fans cheering live.","🎸 Experience Yuna Nakamura at TV Kanagawa 🎟️ Get Tickets Now! Get ready, Yokohama! Yuna Nakamura brings their iconic sound to TV Kanagawa on 21-05-2025. Be part of  fans cheering live.",concert_promotion,6,music_23
✨ Get Ready for Jolin Tsai at Wenzhou Sports Center Secure Your Spot!,Jolin Tsai adds a show in Wenzhou Shi at Wenzhou Sports Center on 20-04-2024. Get your tickets now!,✨ Get Ready for Jolin Tsai at Wenzhou Sports Center Secure Your Spot! Jolin Tsai adds a show in Wenzhou Shi at Wenzhou Sports Center on 20-04-2024. Get your tickets now!,concert_promotion,6,music_24
"❤️ Don't Miss twenty one pilots performing hits like ['Overcompensate', 'The Contract', 'RAWFEAR', ""We Don't Believe What's on TV"", 'Tear in My Heart', 'Backslide', 'Lane Boy', 'Shy Away', 'Heathens', 'Next Semester', 'Routines in the Night', 'Message Man', 'Pet Cheetah', 'Polarize', 'Chlorine', 'Jumpsuit', 'Nico and the Niners', 'Heavydirtysoul', 'The Line', 'Garbage', 'Doubt', 'Tally', 'Ride', 'Drum Show', 'City Walls', 'Guns for Hands', 'Stressed Out', 'Trees', 'Lavish'] Live & Loud!","Witness twenty one pilots's passion on stage at North Island Credit Union Amphitheatre, Chula Vista, 23-10-2025.  fans expected.","❤️ Don't Miss twenty one pilots performing hits like ['Overcompensate', 'The Contract', 'RAWFEAR', ""We Don't Believe What's on TV"", 'Tear in My Heart', 'Backslide', 'Lane Boy', 'Shy Away', 'Heathens', 'Next Semester', 'Routines in the Night', 'Message Man', 'Pet Cheetah', 'Polarize', 'Chlorine', 'Jumpsuit', 'Nico and the Niners', 'Heavydirtysoul', 'The Line', 'Garbage', 'Doubt', 'Tally', 'Ride', 'Drum Show', 'City Walls', 'Guns for Hands', 'Stressed Out', 'Trees', 'Lavish'] Live & Loud! Witness twenty one pilots's passion on stage at North Island Credit Union Amphitheatre, Chula Vista, 23-10-2025.  fans expected.",concert_promotion,6,music_25
🎤 Don't Miss AGNEZ MO for the  tour Live & Loud!,"Witness timeless music by AGNEZ MO at Jakarta International Expo, Kota Administrasi Jakarta Utara, on 26-08-2023.","🎤 Don't Miss AGNEZ MO for the  tour Live & Loud! Witness timeless music by AGNEZ MO at Jakarta International Expo, Kota Administrasi Jakarta Utara, on 26-08-2023.",concert_promotion,6,music_26
"🕺 Join Camila Cabello performing hits like ['Yours, C', 'Shameless', 'Liar', 'baby pink', 'HE KNOWS', 'DADE COUNTY DREAMING', 'See my letter at your door', 'Bad Kind of Butterflies', 'Never Be the Same', 'Chanel No.5', 'Quiet', 'Used to This', 'My Oh My', 'DREAM-GIRLS', 'Señorita', 'Bam Bam', 'B.O.A.T.', 'Ai se eu te pego', 'Bad Things', 'JUNE GLOOM', 'Interlude III', 'Move (Remix)', 'Havana', ""Don't Go Yet"", 'I LUV IT'] Be There!",Camila Cabello brings the full stadium show to Autódromo de Interlagos on 14-09-2025.,"🕺 Join Camila Cabello performing hits like ['Yours, C', 'Shameless', 'Liar', 'baby pink', 'HE KNOWS', 'DADE COUNTY DREAMING', 'See my letter at your door', 'Bad Kind of Butterflies', 'Never Be the Same', 'Chanel No.5', 'Quiet', 'Used to This', 'My Oh My', 'DREAM-GIRLS', 'Señorita', 'Bam Bam', 'B.O.A.T.', 'Ai se eu te pego', 'Bad Things', 'JUNE GLOOM', 'Interlude III', 'Move (Remix)', 'Havana', ""Don't Go Yet"", 'I LUV IT'] Be There! Camila Cabello brings the full stadium show to Autódromo de Interlagos on 14-09-2025.",concert_promotion,6,music_27
"🕺 Join NCT 127 performing hits like ['Kick It', 'Whiplash', 'Lemonade', 'Walk', '2 Baddies', 'Fact Check'] Be There!",Final release tickets for NCT 127 at Crypto.com Arena (Los Angeles) on 01-08-2025. Act fast!,"🕺 Join NCT 127 performing hits like ['Kick It', 'Whiplash', 'Lemonade', 'Walk', '2 Baddies', 'Fact Check'] Be There! Final release tickets for NCT 127 at Crypto.com Arena (Los Angeles) on 01-08-2025. Act fast!",concert_promotion,6,music_28
💥 The Ultimate A. R. Rahman Experience in Manchester Don't Miss Out!,"A special night with A. R. Rahman: Co-op Live, Manchester, 17-10-2025.","💥 The Ultimate A. R. Rahman Experience in Manchester Don't Miss Out! A special night with A. R. Rahman: Co-op Live, Manchester, 17-10-2025.",concert_promotion,6,music_29
❤️ Don't Miss Nucleya performing hits like [] Live & Loud!,Studio hits to live thrills: Nucleya performs at Laxmi Lawns on 09-02-2018.,❤️ Don't Miss Nucleya performing hits like [] Live & Loud! Studio hits to live thrills: Nucleya performs at Laxmi Lawns on 09-02-2018.,concert_promotion,6,music_30
✨ The Ultimate Siti Nurhaliza Experience performing hits like [] Epic Night Ahead!,"Low ticket warning! Siti Nurhaliza live in Kota Administrasi Jakarta Pusat at Istora Senayan, 21-02-2019.","✨ The Ultimate Siti Nurhaliza Experience performing hits like [] Epic Night Ahead! Low ticket warning! Siti Nurhaliza live in Kota Administrasi Jakarta Pusat at Istora Senayan, 21-02-2019.",concert_promotion,6,music_31
🙌 Get Ready for Sam Divine at Chicago Social Club – One Night Only!,The final stop of ! Sam Divine live in Amsterdam at Chicago Social Club on 25-10-2025.,🙌 Get Ready for Sam Divine at Chicago Social Club – One Night Only! The final stop of ! Sam Divine live in Amsterdam at Chicago Social Club on 25-10-2025.,concert_promotion,6,music_32
🎟️ Your Chance to See Parikrama performing hits like [] Limited Seats Available,"All the hits, all the energy! Parikrama live at Embassy International Riding School, Bangalore, 17-12-2023.","🎟️ Your Chance to See Parikrama performing hits like [] Limited Seats Available All the hits, all the energy! Parikrama live at Embassy International Riding School, Bangalore, 17-12-2023.",concert_promotion,6,music_33
💥 Join Eason Chan performing hits like [] Tickets Going Fast!,The  tour lands in Islands District! See Eason Chan at AsiaWorld-Arena on 05-07-2025.,💥 Join Eason Chan performing hits like [] Tickets Going Fast! The  tour lands in Islands District! See Eason Chan at AsiaWorld-Arena on 05-07-2025.,concert_promotion,6,music_34
❤️ The Ultimate Anish Sood Experience in Pune Limited Seats Available,"The icon returns! Anish Sood live at Kesnand, Pune, 29-12-2016.","❤️ The Ultimate Anish Sood Experience in Pune Limited Seats Available The icon returns! Anish Sood live at Kesnand, Pune, 29-12-2016.",concert_promotion,6,music_35
"🎟️ Your Chance to See Lizzo performing hits like ['Everything Was So Much Simpler…', 'Love in Real Life', 'Juice', 'Rumors', 'Boys', 'Tempo', 'Break Up Twice', 'Good as Hell', 'Cuz I Love You', 'Water Me', 'Still Bad', 'Truth Hurts', 'Special', 'About Damn Time'] Limited Seats Available","Good news, New York! Lizzo is performing live at Irving Plaza on 16-03-2025 as part of their Lizzo in Real Life. Grab your tickets at https://www.setlist.fm/setlist/lizzo/2025/irving-plaza-new-york-ny-7b5b2ab0.html!","🎟️ Your Chance to See Lizzo performing hits like ['Everything Was So Much Simpler…', 'Love in Real Life', 'Juice', 'Rumors', 'Boys', 'Tempo', 'Break Up Twice', 'Good as Hell', 'Cuz I Love You', 'Water Me', 'Still Bad', 'Truth Hurts', 'Special', 'About Damn Time'] Limited Seats Available Good news, New York! Lizzo is performing live at Irving Plaza on 16-03-2025 as part of their Lizzo in Real Life. Grab your tickets at https://www.setlist.fm/setlist/lizzo/2025/irving-plaza-new-york-ny-7b5b2ab0.html!",concert_promotion,6,music_36
🕺 Your Chance to See AGNEZ MO for the  tour Don't Miss Out!,"Pure music magic: AGNEZ MO at Long Beach Arena in Long Beach on 15-09-2024. Featuring hits like ['Coke Bottle', 'Nanana', 'Party in Bali (PIB)', 'Get Loose'].","🕺 Your Chance to See AGNEZ MO for the  tour Don't Miss Out! Pure music magic: AGNEZ MO at Long Beach Arena in Long Beach on 15-09-2024. Featuring hits like ['Coke Bottle', 'Nanana', 'Party in Bali (PIB)', 'Get Loose'].",concert_promotion,6,music_37
🤘 See Sam Smith in Brooklyn on 31-10-2025 Live & Loud!,"Sam Smith brings chart-topping hits like [] to Warsaw, Brooklyn, 31-10-2025.","🤘 See Sam Smith in Brooklyn on 31-10-2025 Live & Loud! Sam Smith brings chart-topping hits like [] to Warsaw, Brooklyn, 31-10-2025.",concert_promotion,6,music_38
💥 Your Chance to See Arijit Singh on 16-09-2024 Secure Your Spot!,"Arijit Singh is back! Catch them live at Utilita Arena Birmingham, Birmingham, on 16-09-2024. Sing along to [] and more.","💥 Your Chance to See Arijit Singh on 16-09-2024 Secure Your Spot! Arijit Singh is back! Catch them live at Utilita Arena Birmingham, Birmingham, on 16-09-2024. Sing along to [] and more.",concert_promotion,6,music_39
"🕺 Join Ed Sheeran performing hits like ['Azizam', 'Perfect'] Be There!","Sing your heart out! Ed Sheeran live at Hammerstein Ballroom in New York on 29-09-2025. Performances include ['Azizam', 'Perfect'].","🕺 Join Ed Sheeran performing hits like ['Azizam', 'Perfect'] Be There! Sing your heart out! Ed Sheeran live at Hammerstein Ballroom in New York on 29-09-2025. Performances include ['Azizam', 'Perfect'].",concert_promotion,6,music_40
💥 The Ultimate LUDMILLA Experience in São João de Meriti Don't Miss Out!,"Love live music? LUDMILLA's  hits São João de Meriti at Via Music Hall on 19-09-2025. Don't miss ['Intro', 'Sou má', 'Senta e levanta', 'Brigas demais', 'Não quero mais', '5 contra 1', 'Sintomas de prazer', 'A boba fui eu', 'Sua preferida', 'Verdinha', 'Socadona', 'Te ensinei certin / Hoje', 'Zuri', 'Paraíso', 'Saudade da gente', 'Você não sabe o que é amor', 'Maliciosa / Maldivas', 'CAM GIRL', 'Onda diferente', 'Falta de mim', 'Eu estive aqui', 'A preta venceu', 'Joga pro coroa / Mete seu cachorro / Foda gostosa do caralho', 'Fala mal de mim', 'Vem amor / 24 horas por dia / Din din din / Não encosta / Se eu descobrir / Cantar em inglês (We Found Love) / Zuera dos amigos / Chupa xoxota', 'Favela chegou'] performed live!","💥 The Ultimate LUDMILLA Experience in São João de Meriti Don't Miss Out! Love live music? LUDMILLA's  hits São João de Meriti at Via Music Hall on 19-09-2025. Don't miss ['Intro', 'Sou má', 'Senta e levanta', 'Brigas demais', 'Não quero mais', '5 contra 1', 'Sintomas de prazer', 'A boba fui eu', 'Sua preferida', 'Verdinha', 'Socadona', 'Te ensinei certin / Hoje', 'Zuri', 'Paraíso', 'Saudade da gente', 'Você não sabe o que é amor', 'Maliciosa / Maldivas', 'CAM GIRL', 'Onda diferente', 'Falta de mim', 'Eu estive aqui', 'A preta venceu', 'Joga pro coroa / Mete seu cachorro / Foda gostosa do caralho', 'Fala mal de mim', 'Vem amor / 24 horas por dia / Din din din / Não encosta / Se eu descobrir / Cantar em inglês (We Found Love) / Zuera dos amigos / Chupa xoxota', 'Favela chegou'] performed live!",concert_promotion,6,music_41
🎸 Don't Miss ITZY for the  tour Don't Miss Out!,ITZY is back on tour! Catch the new show in Tokyo at Yoyogi Daiichi Taiikukan on 11-10-2025.,🎸 Don't Miss ITZY for the  tour Don't Miss Out! ITZY is back on tour! Catch the new show in Tokyo at Yoyogi Daiichi Taiikukan on 11-10-2025.,concert_promotion,6,music_42
🎸 Your Chance to See Hacken Lee for the  tour Be There!,Join Hacken Lee at Hong Kong Coliseum in Kowloon on 16-05-2023! Experience hits like [] and an unforgettable night for  fans.,🎸 Your Chance to See Hacken Lee for the  tour Be There! Join Hacken Lee at Hong Kong Coliseum in Kowloon on 16-05-2023! Experience hits like [] and an unforgettable night for  fans.,concert_promotion,6,music_43
🎸 Don't Miss When Chai Met Toast for the  tour Don't Miss Out!,"As part of , When Chai Met Toast stops at Dominion Centre, Amsterdam, on 14-06-2024.","🎸 Don't Miss When Chai Met Toast for the  tour Don't Miss Out! As part of , When Chai Met Toast stops at Dominion Centre, Amsterdam, on 14-06-2024.",concert_promotion,6,music_44
🎤 Don't Miss KERZA for the  tour Live & Loud!,KERZA // Helsinki // Black Box // 12-07-2025. Get tickets at https://www.setlist.fm/setlist/kerza/2025/black-box-helsinki-finland-5b40df28.html.,🎤 Don't Miss KERZA for the  tour Live & Loud! KERZA // Helsinki // Black Box // 12-07-2025. Get tickets at https://www.setlist.fm/setlist/kerza/2025/black-box-helsinki-finland-5b40df28.html.,concert_promotion,6,music_45
